JacksonXml_5 | XmlSerializerProvider_2.java | OCHIAI: -1.0
JacksonXml_5 | XmlSerializerProvider_1.java | OCHIAI: -1.0
Codec_18 | StringUtils_16.java | OCHIAI: -1.0
Codec_18 | StringUtils_17.java | OCHIAI: -1.0
Codec_18 | StringUtils_7.java | OCHIAI: -1.0
Codec_18 | StringUtils_1.java | OCHIAI: -1.0
Codec_18 | StringUtils_4.java | OCHIAI: -1.0
Codec_18 | StringUtils_12.java | OCHIAI: 0.0
Codec_18 | StringUtils_3.java | OCHIAI: -1.0
Codec_18 | StringUtils_11.java | OCHIAI: 0.0
Codec_18 | StringUtils_5.java | OCHIAI: -1.0
Codec_18 | StringUtils_2.java | OCHIAI: -1.0
Codec_18 | StringUtils_14.java | OCHIAI: -1.0
Codec_18 | StringUtils_6.java | OCHIAI: -1.0
Codec_18 | StringUtils_9.java | OCHIAI: -1.0
Codec_18 | StringUtils_8.java | OCHIAI: -1.0
Codec_18 | StringUtils_10.java | OCHIAI: -1.0
Codec_18 | StringUtils_15.java | OCHIAI: -1.0
Codec_18 | StringUtils_13.java | OCHIAI: -1.0
Lang_5 | LocaleUtils_1.java | OCHIAI: 0.2773500981126146
Lang_5 | LocaleUtils_2.java | OCHIAI: 0.0
Lang_5 | LocaleUtils_3.java | OCHIAI: -1.0
Lang_5 | LocaleUtils_4.java | OCHIAI: 0.0
Lang_40 | StringUtils_16.java | OCHIAI: -1.0
Lang_40 | StringUtils_17.java | OCHIAI: 0.0
Lang_40 | StringUtils_61.java | OCHIAI: 0.0
Lang_40 | StringUtils_7.java | OCHIAI: -1.0
Lang_40 | StringUtils_59.java | OCHIAI: -1.0
Lang_40 | StringUtils_31.java | OCHIAI: -1.0
Lang_40 | StringUtils_1.java | OCHIAI: 0.0
Lang_40 | StringUtils_69.java | OCHIAI: -1.0
Lang_40 | StringUtils_55.java | OCHIAI: -1.0
Lang_40 | StringUtils_4.java | OCHIAI: -1.0
Lang_40 | StringUtils_57.java | OCHIAI: -1.0
Lang_40 | StringUtils_24.java | OCHIAI: 0.0
